C:\Users\WhizKid2004\PycharmProjects\poliGPTTest\venv\Scripts\python.exe C:\Users\WhizKid2004\PycharmProjects\a1\part1\main.py
Executing GP Runs Please Wait...
   	      	                            fitness                            	                          size
   	      	---------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max        	med    	min    	nevals	std    	avg    	gen	max	med	min	nevals	std
32 	278   	1796.77    	32 	470764     	3.81273	0.255329	278   	27243.2    	67.07  	32 	177	70  	1  	278   	26.1699
33 	276   	510.56     	33 	96622.9    	3.25891	0.119241	276   	5695.72    	68.4767	33 	182	71.5	1  	276   	25.4711
34 	283   	126.351    	34 	18271.6    	2.77997	0.119241	283   	1267.18    	68.5167	34 	135	72  	1  	283   	26.3739
35 	279   	66.9711    	35 	6396.45    	2.18462	0.119241	279   	447.813    	73.39  	35 	128	75  	4  	279   	25.2897
36 	280   	155.706    	36 	10547.6    	2.36711	0.119241	280   	1034.06    	76.7433	36 	145	80.5	15 	280   	26.2021
37 	270   	395.826    	37 	96175.1    	2.12599	0.119241	270   	5579.38    	77.48  	37 	145	81  	1  	270   	24.9433
38 	263   	161.033    	38 	26123.8    	2.06225	0.119241	263   	1654.46    	80.53  	38 	163	85  	6  	263   	25.2466
39 	275   	54.695     	39 	10548.5    	1.62503	0.119241	275   	612.719    	85.6733	39 	165	88  	7  	275   	24.162
40 	281   	28.5779    	40 	5000.58    	1.31689	0.119241	281   	289.766    	84.6433	40 	169	86  	16 	281   	26.6048
41 	269   	10.1378    	41 	479.754    	1.17029	0.119241	269   	35.843     	86.1333	41 	170	88  	6  	269   	25.5433
42 	263   	117.907    	42 	13609.1    	1.08233	0.0691584	263   	1024.75    	83.2067	42 	172	86  	1  	263   	26.0862
43 	268   	518.931    	43 	147060     	1.11488	0.0691584	268   	8476.88    	83.97  	43 	165	86  	24 	268   	24.6177
44 	282   	113577     	44 	3.383e+07  	0.737682	0.0691584	282   	1.94991e+06	82.2433	44 	164	85.5	2  	282   	26.1834
45 	281   	36.0626    	45 	3298.03    	0.752271	0.0691584	281   	210.624    	84.5567	45 	160	86  	2  	281   	24.5637
46 	271   	195.542    	46 	10604      	0.531858	0.0691584	271   	1360.42    	84.7233	46 	149	87.5	3  	271   	26.0082
47 	274   	673.074    	47 	98964.6    	0.599135	0.0669379	274   	7946.83    	84.1233	47 	176	86  	8  	274   	27.0469
48 	280   	182.661    	48 	20481.2    	0.898906	0.0669379	280   	1582.57    	85.6067	48 	154	88  	18 	280   	26.6201
49 	267   	812.822    	49 	204114     	0.969074	0.064055 	267   	11818.1    	88.05  	49 	166	91  	6  	267   	25.7129
50 	268   	10.8842    	50 	311.482    	0.676779	0.0583912	268   	29.0318    	86.1067	50 	152	89  	3  	268   	26.3662
   	      	                                  fitness                                  	                          size
   	      	---------------------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg        	gen	max        	med    	min    	nevals	std        	avg    	gen	max	med	min	nevals	std
0  	300   	3.18024e+06	0  	9.51698e+08	23.6815	13.2498	300   	5.48542e+07	15.1867	0  	47 	12 	4  	300   	9.00917
1  	280   	84223.9    	1  	2.52522e+07	21.8104	13.2498	280   	1.4555e+06 	12.61  	1  	38 	11 	1  	280   	7.92409
2  	273   	120.929    	2  	22629      	21.4593	13.2498	273   	1315.14    	13.3033	2  	44 	12 	2  	273   	8.33735
3  	260   	28.9069    	3  	889.589    	21.2813	12.2061	260   	63.0387    	15.3133	3  	43 	14 	1  	260   	9.49185
4  	258   	26.6142    	4  	855.681    	21.0617	12.2061	258   	53.5314    	16.07  	4  	47 	14 	1  	258   	9.67222
5  	269   	260.163    	5  	24312.4    	20.7614	12.2061	269   	2311.92    	18.09  	5  	61 	16 	1  	269   	9.94997
6  	277   	3417.17    	6  	1.00596e+06	20.5167	12.2061	277   	57982.4    	19.3267	6  	65 	17 	1  	277   	10.6041
7  	271   	73319.8    	7  	2.19892e+07	19.2203	12.2061	271   	1.26743e+06	21.1933	7  	69 	19 	1  	271   	11.2304
8  	277   	48.8788    	8  	7730.78    	18.734 	12.2061	277   	445.418    	23.1133	8  	68 	21 	2  	277   	12.0449
